missing data:, sediment, on date:, 12,10,2003, filled with average monthly concentration (mg/L):, 41.5311, to get load of (kg/d):, 611.685 
missing data:, sediment, on date:, 12,13,2003, filled with average monthly concentration (mg/L):, 104.3275, to get load of (kg/d):, 4543.356 
missing data:, sediment, on date:, 12,14,2003, filled with average monthly concentration (mg/L):, 78.2077, to get load of (kg/d):, 2334.3566 
missing data:, sediment, on date:, 12,15,2003, filled with average monthly concentration (mg/L):, 47.5218, to get load of (kg/d):, 766.1896 
missing data:, sediment, on date:, 12,16,2003, filled with average monthly concentration (mg/L):, 42.1126, to get load of (kg/d):, 586.2486 
missing data:, sediment, on date:, 12,17,2003, filled with average monthly concentration (mg/L):, 37.2084, to get load of (kg/d):, 470.6412 
missing data:, sediment, on date:, 12,18,2003, filled with average monthly concentration (mg/L):, 35.2543, to get load of (kg/d):, 439.0239 
missing data:, sediment, on date:, 12,19,2003, filled with average monthly concentration (mg/L):, 36.1351, to get load of (kg/d):, 466.7902 
missing data:, sediment, on date:, 12,20,2003, filled with average monthly concentration (mg/L):, 31.9032, to get load of (kg/d):, 362.1678 
missing data:, sediment, on date:, 12,21,2003, filled with average monthly concentration (mg/L):, 26.3638, to get load of (kg/d):, 223.8183 
missing data:, sediment, on date:, 12,22,2003, filled with average monthly concentration (mg/L):, 23.2864, to get load of (kg/d):, 160.6604 
missing data:, sediment, on date:, 12,23,2003, filled with average monthly concentration (mg/L):, 35.1975, to get load of (kg/d):, 396.1209 
missing data:, sediment, on date:, 1,3,2004, filled with average monthly concentration (mg/L):, 53.4838, to get load of (kg/d):, 826.9846 
missing data:, sediment, on date:, 1,4,2004, filled with average monthly concentration (mg/L):, 63.2851, to get load of (kg/d):, 1463.159 
missing data:, sediment, on date:, 1,6,2004, filled with average monthly concentration (mg/L):, 128.262, to get load of (kg/d):, 9476.8259 
missing data:, sediment, on date:, 1,7,2004, filled with average monthly concentration (mg/L):, 105.7632, to get load of (kg/d):, 6960.5681 
missing data:, sediment, on date:, 1,8,2004, filled with average monthly concentration (mg/L):, 92.822, to get load of (kg/d):, 4610.0404 
missing data:, sediment, on date:, 1,9,2004, filled with average monthly concentration (mg/L):, 84.2063, to get load of (kg/d):, 3090.2493 
missing data:, sediment, on date:, 1,10,2004, filled with average monthly concentration (mg/L):, 68.4386, to get load of (kg/d):, 1724.6317 
missing data:, sediment, on date:, 1,29,2004, filled with average monthly concentration (mg/L):, 4.3591, to get load of (kg/d):, 7.8919 
missing data:, sediment, on date:, 1,30,2004, filled with average monthly concentration (mg/L):, 4.8605, to get load of (kg/d):, 8.562 
missing data:, sediment, on date:, 1,31,2004, filled with average monthly concentration (mg/L):, 5.1933, to get load of (kg/d):, 8.8941 
missing data:, sediment, on date:, 2,1,2004, filled with average monthly concentration (mg/L):, 5.5911, to get load of (kg/d):, 9.3017 
missing data:, sediment, on date:, 2,2,2004, filled with average monthly concentration (mg/L):, 5.8502, to get load of (kg/d):, 9.4466 
missing data:, sediment, on date:, 2,8,2004, filled with average monthly concentration (mg/L):, 5.2935, to get load of (kg/d):, 11.6558 
missing data:, sediment, on date:, 4,8,2004, filled with average monthly concentration (mg/L):, 42.8454, to get load of (kg/d):, 216.9862 
missing data:, sediment, on date:, 5,2,2004, filled with average monthly concentration (mg/L):, 25.1932, to get load of (kg/d):, 187.993 
missing data:, sediment, on date:, 5,3,2004, filled with average monthly concentration (mg/L):, 0, to get load of (kg/d):, 0 
missing data:, sediment, on date:, 5,4,2004, filled with average monthly concentration (mg/L):, 172.7367, to get load of (kg/d):, 3883.8096 
missing data:, sediment, on date:, 5,5,2004, filled with average monthly concentration (mg/L):, 161.7233, to get load of (kg/d):, 3355.2618 
missing data:, sediment, on date:, 5,6,2004, filled with average monthly concentration (mg/L):, 105.7398, to get load of (kg/d):, 1472.0025 
missing data:, sediment, on date:, 5,7,2004, filled with average monthly concentration (mg/L):, 77.7611, to get load of (kg/d):, 835.1892 
missing data:, sediment, on date:, 5,8,2004, filled with average monthly concentration (mg/L):, 94.8322, to get load of (kg/d):, 1257.5146 
missing data:, sediment, on date:, 5,9,2004, filled with average monthly concentration (mg/L):, 218.5299, to get load of (kg/d):, 6255.3928 
missing data:, sediment, on date:, 5,10,2004, filled with average monthly concentration (mg/L):, 134.6065, to get load of (kg/d):, 2486.3988 
missing data:, sediment, on date:, 5,11,2004, filled with average monthly concentration (mg/L):, 114.3079, to get load of (kg/d):, 1898.9072 
missing data:, sediment, on date:, 5,12,2004, filled with average monthly concentration (mg/L):, 90.1269, to get load of (kg/d):, 1252.4505 
missing data:, sediment, on date:, 5,13,2004, filled with average monthly concentration (mg/L):, 78.429, to get load of (kg/d):, 988.1927 
missing data:, sediment, on date:, 5,14,2004, filled with average monthly concentration (mg/L):, 103.9363, to get load of (kg/d):, 1749.4979 
missing data:, sediment, on date:, 5,15,2004, filled with average monthly concentration (mg/L):, 87.3808, to get load of (kg/d):, 1246.3576 
missing data:, sediment, on date:, 5,16,2004, filled with average monthly concentration (mg/L):, 76.4192, to get load of (kg/d):, 970.3487 
missing data:, sediment, on date:, 5,17,2004, filled with average monthly concentration (mg/L):, 64.7715, to get load of (kg/d):, 702.0141 
missing data:, sediment, on date:, 5,18,2004, filled with average monthly concentration (mg/L):, 59.2294, to get load of (kg/d):, 569.4926 
missing data:, sediment, on date:, 5,19,2004, filled with average monthly concentration (mg/L):, 92.6058, to get load of (kg/d):, 1302.759 
missing data:, sediment, on date:, 5,20,2004, filled with average monthly concentration (mg/L):, 110.3767, to get load of (kg/d):, 1822.8002 
missing data:, sediment, on date:, 5,21,2004, filled with average monthly concentration (mg/L):, 95.9058, to get load of (kg/d):, 1306.9465 
missing data:, sediment, on date:, 5,22,2004, filled with average monthly concentration (mg/L):, 246.9541, to get load of (kg/d):, 9062.8618 
missing data:, sediment, on date:, 5,23,2004, filled with average monthly concentration (mg/L):, 355.3001, to get load of (kg/d):, 19297.7276 
missing data:, sediment, on date:, 6,22,2004, filled with average monthly concentration (mg/L):, 65.5293, to get load of (kg/d):, 1122.2548 
missing data:, sediment, on date:, 8,3,2004, filled with average monthly concentration (mg/L):, 53.3043, to get load of (kg/d):, 345.5937 
missing data:, sediment, on date:, 8,4,2004, filled with average monthly concentration (mg/L):, 54.5032, to get load of (kg/d):, 388.0369 
missing data:, sediment, on date:, 8,5,2004, filled with average monthly concentration (mg/L):, 51.8992, to get load of (kg/d):, 298.3913 
missing data:, sediment, on date:, 8,6,2004, filled with average monthly concentration (mg/L):, 67.3805, to get load of (kg/d):, 890.1972 
missing data:, sediment, on date:, 8,7,2004, filled with average monthly concentration (mg/L):, 63.7038, to get load of (kg/d):, 679.532 
missing data:, sediment, on date:, 8,8,2004, filled with average monthly concentration (mg/L):, 51.7523, to get load of (kg/d):, 277.2885 
missing data:, sediment, on date:, 10,1,2004, filled with average monthly concentration (mg/L):, 32.363, to get load of (kg/d):, 79.9703 
missing data:, sediment, on date:, 12,3,2004, filled with average monthly concentration (mg/L):, 157.4466, to get load of (kg/d):, 5778.0671 
missing data:, sediment, on date:, 12,4,2004, filled with average monthly concentration (mg/L):, 112.5774, to get load of (kg/d):, 2974.6292 
missing data:, sediment, on date:, 12,5,2004, filled with average monthly concentration (mg/L):, 78.7479, to get load of (kg/d):, 1462.3069 
missing data:, sediment, on date:, 12,6,2004, filled with average monthly concentration (mg/L):, 63.7816, to get load of (kg/d):, 953.443 
missing data:, sediment, on date:, 12,7,2004, filled with average monthly concentration (mg/L):, 74.5722, to get load of (kg/d):, 1291.7191 
missing data:, sediment, on date:, 12,8,2004, filled with average monthly concentration (mg/L):, 238.2229, to get load of (kg/d):, 13171.9438 
missing data:, sediment, on date:, 12,9,2004, filled with average monthly concentration (mg/L):, 280.3304, to get load of (kg/d):, 18174.9851 
missing data:, sediment, on date:, 12,10,2004, filled with average monthly concentration (mg/L):, 193.9387, to get load of (kg/d):, 8730.5217 
missing data:, sediment, on date:, 12,11,2004, filled with average monthly concentration (mg/L):, 167.2746, to get load of (kg/d):, 6507.0622 
missing data:, sediment, on date:, 12,12,2004, filled with average monthly concentration (mg/L):, 173.674, to get load of (kg/d):, 7010.945 
missing data:, sediment, on date:, 12,13,2004, filled with average monthly concentration (mg/L):, 143.8101, to get load of (kg/d):, 4820.2325 
missing data:, sediment, on date:, 12,14,2004, filled with average monthly concentration (mg/L):, 112.8798, to get load of (kg/d):, 2982.6187 
missing data:, sediment, on date:, 12,15,2004, filled with average monthly concentration (mg/L):, 85.789, to get load of (kg/d):, 1733.6826 
missing data:, sediment, on date:, 12,16,2004, filled with average monthly concentration (mg/L):, 72.5636, to get load of (kg/d):, 1246.2749 
missing data:, sediment, on date:, 12,17,2004, filled with average monthly concentration (mg/L):, 56.4585, to get load of (kg/d):, 761.0946 
missing data:, sediment, on date:, 12,18,2004, filled with average monthly concentration (mg/L):, 37.2603, to get load of (kg/d):, 338.2036 
missing data:, sediment, on date:, 12,19,2004, filled with average monthly concentration (mg/L):, 22.5417, to get load of (kg/d):, 128.4993 
missing data:, sediment, on date:, 12,20,2004, filled with average monthly concentration (mg/L):, 24.1416, to get load of (kg/d):, 146.4788 
missing data:, sediment, on date:, 12,21,2004, filled with average monthly concentration (mg/L):, 18.3821, to get load of (kg/d):, 87.2479 
missing data:, sediment, on date:, 12,22,2004, filled with average monthly concentration (mg/L):, 6.9976, to get load of (kg/d):, 22.256 
missing data:, sediment, on date:, 12,23,2004, filled with average monthly concentration (mg/L):, 2.8135, to get load of (kg/d):, 7.5718 
missing data:, sediment, on date:, 12,30,2004, filled with average monthly concentration (mg/L):, 16.9172, to get load of (kg/d):, 96.8504 
missing data:, sediment, on date:, 12,31,2004, filled with average monthly concentration (mg/L):, 28.7298, to get load of (kg/d):, 293.1077 
missing data:, sediment, on date:, 1,1,2005, filled with average monthly concentration (mg/L):, 115.3261, to get load of (kg/d):, 4909.4713 
missing data:, sediment, on date:, 1,2,2005, filled with average monthly concentration (mg/L):, 149.1723, to get load of (kg/d):, 8576.5769 
missing data:, sediment, on date:, 1,3,2005, filled with average monthly concentration (mg/L):, 147.3894, to get load of (kg/d):, 9700.1046 
