missing data:, DRP, on date:, 12,17,2003, filled with average monthly concentration (mg/L):, 0.11909, to get load of (kg/d):, 1506.4058 
missing data:, DRP, on date:, 12,18,2003, filled with average monthly concentration (mg/L):, 0.11776, to get load of (kg/d):, 1466.5333 
missing data:, DRP, on date:, 12,19,2003, filled with average monthly concentration (mg/L):, 0.11722, to get load of (kg/d):, 1514.3005 
missing data:, DRP, on date:, 12,20,2003, filled with average monthly concentration (mg/L):, 0.11496, to get load of (kg/d):, 1304.9797 
missing data:, DRP, on date:, 12,21,2003, filled with average monthly concentration (mg/L):, 0.11188, to get load of (kg/d):, 949.8168 
missing data:, DRP, on date:, 12,22,2003, filled with average monthly concentration (mg/L):, 0.10959, to get load of (kg/d):, 756.1323 
missing data:, DRP, on date:, 12,23,2003, filled with average monthly concentration (mg/L):, 0.10455, to get load of (kg/d):, 1176.6859 
missing data:, DRP, on date:, 1,3,2004, filled with average monthly concentration (mg/L):, 0.098325, to get load of (kg/d):, 1520.3338 
missing data:, DRP, on date:, 1,4,2004, filled with average monthly concentration (mg/L):, 0.096545, to get load of (kg/d):, 2232.1301 
missing data:, DRP, on date:, 1,6,2004, filled with average monthly concentration (mg/L):, 0.09769, to get load of (kg/d):, 7217.9683 
missing data:, DRP, on date:, 1,7,2004, filled with average monthly concentration (mg/L):, 0.10016, to get load of (kg/d):, 6591.8074 
missing data:, DRP, on date:, 1,8,2004, filled with average monthly concentration (mg/L):, 0.10391, to get load of (kg/d):, 5160.7319 
missing data:, DRP, on date:, 1,9,2004, filled with average monthly concentration (mg/L):, 0.10833, to get load of (kg/d):, 3975.3729 
missing data:, DRP, on date:, 1,10,2004, filled with average monthly concentration (mg/L):, 0.11256, to get load of (kg/d):, 2836.3507 
missing data:, DRP, on date:, 1,29,2004, filled with average monthly concentration (mg/L):, 0.08561, to get load of (kg/d):, 154.9937 
missing data:, DRP, on date:, 1,30,2004, filled with average monthly concentration (mg/L):, 0.08101, to get load of (kg/d):, 142.7017 
missing data:, DRP, on date:, 1,31,2004, filled with average monthly concentration (mg/L):, 0.0771, to get load of (kg/d):, 132.0415 
missing data:, DRP, on date:, 2,1,2004, filled with average monthly concentration (mg/L):, 0.0771, to get load of (kg/d):, 128.2689 
missing data:, DRP, on date:, 2,2,2004, filled with average monthly concentration (mg/L):, 0.07216, to get load of (kg/d):, 116.5194 
missing data:, DRP, on date:, 2,8,2004, filled with average monthly concentration (mg/L):, 0.05602, to get load of (kg/d):, 123.3512 
missing data:, DRP, on date:, 3,24,2004, filled with average monthly concentration (mg/L):, 0.011205, to get load of (kg/d):, 158.7261 
missing data:, DRP, on date:, 4,8,2004, filled with average monthly concentration (mg/L):, 0.018045, to get load of (kg/d):, 91.3872 
missing data:, DRP, on date:, 4,13,2004, filled with average monthly concentration (mg/L):, 0.007255, to get load of (kg/d):, 30.3523 
missing data:, DRP, on date:, 4,14,2004, filled with average monthly concentration (mg/L):, 0.005105, to get load of (kg/d):, 20.733 
missing data:, DRP, on date:, 4,15,2004, filled with average monthly concentration (mg/L):, 0.003685, to get load of (kg/d):, 13.884 
missing data:, DRP, on date:, 4,16,2004, filled with average monthly concentration (mg/L):, 0.003015, to get load of (kg/d):, 11.6547 
missing data:, DRP, on date:, 4,17,2004, filled with average monthly concentration (mg/L):, 0.003015, to get load of (kg/d):, 12.0236 
missing data:, DRP, on date:, 4,18,2004, filled with average monthly concentration (mg/L):, 0.002865, to get load of (kg/d):, 11.7758 
missing data:, DRP, on date:, 4,30,2004, filled with average monthly concentration (mg/L):, 0.002455, to get load of (kg/d):, 14.4152 
missing data:, DRP, on date:, 5,1,2004, filled with average monthly concentration (mg/L):, 0.002455, to get load of (kg/d):, 16.157 
missing data:, DRP, on date:, 5,2,2004, filled with average monthly concentration (mg/L):, 0.002455, to get load of (kg/d):, 18.3193 
missing data:, DRP, on date:, 5,3,2004, filled with average monthly concentration (mg/L):, 0.002455, to get load of (kg/d):, 37.0591 
