missing data:, TN, on date:, 9,3,2002, filled with average monthly concentration (mg/L):, 1.4505, to get load of (kg/d):, 780.7039 
missing data:, TN, on date:, 9,4,2002, filled with average monthly concentration (mg/L):, 1.4505, to get load of (kg/d):, 532.2981 
missing data:, TN, on date:, 9,5,2002, filled with average monthly concentration (mg/L):, 1.4424, to get load of (kg/d):, 490.5117 
missing data:, TN, on date:, 9,7,2002, filled with average monthly concentration (mg/L):, 1.4424, to get load of (kg/d):, 561.089 
missing data:, TN, on date:, 9,8,2002, filled with average monthly concentration (mg/L):, 1.4424, to get load of (kg/d):, 635.195 
missing data:, TN, on date:, 9,9,2002, filled with average monthly concentration (mg/L):, 1.4424, to get load of (kg/d):, 550.5024 
missing data:, TN, on date:, 9,10,2002, filled with average monthly concentration (mg/L):, 1.4424, to get load of (kg/d):, 550.5024 
missing data:, TN, on date:, 9,11,2002, filled with average monthly concentration (mg/L):, 1.4424, to get load of (kg/d):, 568.1467 
missing data:, TN, on date:, 9,12,2002, filled with average monthly concentration (mg/L):, 1.4424, to get load of (kg/d):, 319.0091 
missing data:, TN, on date:, 9,13,2002, filled with average monthly concentration (mg/L):, 1.4424, to get load of (kg/d):, 299.6003 
missing data:, TN, on date:, 9,14,2002, filled with average monthly concentration (mg/L):, 1.4424, to get load of (kg/d):, 284.0733 
missing data:, TN, on date:, 9,15,2002, filled with average monthly concentration (mg/L):, 1.4424, to get load of (kg/d):, 508.156 
missing data:, TN, on date:, 9,16,2002, filled with average monthly concentration (mg/L):, 1.4424, to get load of (kg/d):, 543.4446 
missing data:, TN, on date:, 9,17,2002, filled with average monthly concentration (mg/L):, 1.4424, to get load of (kg/d):, 409.3479 
missing data:, TN, on date:, 9,18,2002, filled with average monthly concentration (mg/L):, 1.4424, to get load of (kg/d):, 363.4727 
missing data:, TN, on date:, 9,19,2002, filled with average monthly concentration (mg/L):, 1.3685, to get load of (kg/d):, 552.4541 
missing data:, TN, on date:, 9,20,2002, filled with average monthly concentration (mg/L):, 1.2902, to get load of (kg/d):, 590.2962 
missing data:, TN, on date:, 9,21,2002, filled with average monthly concentration (mg/L):, 1.2216, to get load of (kg/d):, 998.2242 
missing data:, TN, on date:, 9,22,2002, filled with average monthly concentration (mg/L):, 1.2216, to get load of (kg/d):, 821.8911 
missing data:, TN, on date:, 9,24,2002, filled with average monthly concentration (mg/L):, 1.2216, to get load of (kg/d):, 1978.5161 
missing data:, TN, on date:, 9,25,2002, filled with average monthly concentration (mg/L):, 1.2216, to get load of (kg/d):, 1243.2971 
missing data:, TN, on date:, 9,26,2002, filled with average monthly concentration (mg/L):, 1.2186, to get load of (kg/d):, 909.3582 
missing data:, TN, on date:, 9,27,2002, filled with average monthly concentration (mg/L):, 1.2186, to get load of (kg/d):, 1121.0448 
missing data:, TN, on date:, 9,28,2002, filled with average monthly concentration (mg/L):, 1.2186, to get load of (kg/d):, 1377.454 
missing data:, TN, on date:, 9,29,2002, filled with average monthly concentration (mg/L):, 1.2186, to get load of (kg/d):, 1225.3974 
missing data:, TN, on date:, 9,30,2002, filled with average monthly concentration (mg/L):, 1.2186, to get load of (kg/d):, 2149.6631 
missing data:, TN, on date:, 10,1,2002, filled with average monthly concentration (mg/L):, 1.2186, to get load of (kg/d):, 2623.7219 
missing data:, TN, on date:, 10,2,2002, filled with average monthly concentration (mg/L):, 1.2186, to get load of (kg/d):, 2629.6849 
missing data:, TN, on date:, 10,3,2002, filled with average monthly concentration (mg/L):, 1.2186, to get load of (kg/d):, 1395.343 
missing data:, TN, on date:, 10,4,2002, filled with average monthly concentration (mg/L):, 1.2186, to get load of (kg/d):, 1127.0078 
missing data:, TN, on date:, 10,5,2002, filled with average monthly concentration (mg/L):, 1.2186, to get load of (kg/d):, 1902.1984 
missing data:, TN, on date:, 10,9,2002, filled with average monthly concentration (mg/L):, 1.1948, to get load of (kg/d):, 760.0448 
missing data:, TN, on date:, 10,16,2002, filled with average monthly concentration (mg/L):, 1.1151, to get load of (kg/d):, 551.0858 
missing data:, TN, on date:, 10,29,2002, filled with average monthly concentration (mg/L):, 1.036, to get load of (kg/d):, 496.7718 
missing data:, TN, on date:, 10,30,2002, filled with average monthly concentration (mg/L):, 1.0304, to get load of (kg/d):, 1129.4337 
