year,month,day,TP(kg)
2001,2,4,7114.39
2001,2,5,4807.27
2001,2,6,3558.29
2001,2,7,2868.85
2001,2,8,2491.83
2001,2,9,10259.76
2001,2,10,82769.10
2001,2,11,87927.26
2001,2,12,56157.45
2001,2,13,35440.45
2001,2,14,22656.45
2001,2,15,34306.75
2001,2,16,45667.37
2001,2,17,36696.31
2001,2,18,22003.49
2001,2,19,8429.34
2001,2,20,5593.21
2001,2,21,4024.33
2001,2,22,2843.44
2001,2,23,2484.33
2001,2,24,1977.33
2001,2,25,5578.84
2001,2,26,16212.84
2001,2,27,19598.84
2001,2,28,12157.12
2001,3,1,8937.51
2001,3,2,6007.33
2001,3,3,4732.53
2001,3,4,3851.81
2001,3,5,2833.50
2001,3,6,2201.70
2001,3,7,1305.16
2001,3,8,1011.12
2001,3,9,833.77
2001,3,10,701.31
2001,3,11,644.34
2001,3,12,534.82
2001,3,13,822.66
2001,3,14,604.53
2001,3,15,508.97
2001,3,16,728.51
2001,3,17,573.13
2001,3,18,569.94
2001,3,19,945.91
2001,3,20,1636.66
2001,3,21,1524.76
2001,3,22,1360.49
2001,3,23,1094.34
2001,3,24,1009.53
2001,3,25,864.86
2001,3,26,745.03
2001,3,27,527.26
2001,3,28,425.32
2001,3,29,364.84
2001,3,30,350.40
2001,3,31,331.77
2001,4,1,336.75
2001,4,2,268.89
2001,4,3,295.25
2001,4,4,188.81
2001,4,5,180.04
2001,4,6,4258.21
2001,4,7,38867.92
2001,4,8,29175.83
2001,4,9,14136.29
2001,4,10,6585.41
2001,4,11,3982.23
2001,4,12,7244.30
2001,4,13,12112.00
2001,4,14,9473.49
2001,4,15,5438.93
2001,4,16,3304.89
2001,4,17,4579.37
2001,4,18,4230.11
2001,4,19,2695.94
2001,4,20,1986.34
2001,4,21,3264.43
2001,4,22,4503.28
2001,4,23,5514.28
2001,4,24,5121.95
2001,4,25,3221.43
2001,4,26,2456.37
2001,4,27,1824.24
2001,4,28,1351.25
2001,4,29,984.86
2001,4,30,944.47
2001,5,1,811.60
2001,5,2,639.68
2001,5,3,483.91
2001,5,4,431.92
2001,5,5,339.87
2001,5,6,292.39
2001,5,7,291.11
2001,5,8,346.02
2001,5,9,438.73
2001,5,10,378.39
2001,5,11,283.71
2001,5,12,289.33
2001,5,13,260.30
2001,5,14,225.03
2001,5,15,707.38
2001,5,16,15085.95
2001,5,17,15734.51
2001,5,18,10595.94
2001,5,19,17946.21
2001,5,20,18430.51
2001,5,21,12194.94
2001,5,22,8163.54
2001,5,23,4317.98
2001,5,24,3607.12
2001,5,25,4132.80
2001,5,26,8258.45
2001,5,27,17056.75
2001,5,28,32093.91
2001,5,29,25341.47
2001,5,30,14647.56
2001,5,31,6615.67
2001,6,1,4436.68
2001,6,2,3310.27
2001,6,3,4530.12
2001,6,4,4133.03
2001,6,5,3056.75
2001,6,6,5027.22
2001,6,7,20391.82
2001,6,8,17480.46
2001,6,9,8004.57
2001,6,10,4178.09
2001,6,11,2709.00
2001,6,12,1596.80
2001,6,13,1406.58
2001,6,14,1128.69
2001,6,15,907.74
2001,6,16,872.97
2001,6,17,749.03
2001,6,18,554.18
2001,6,19,461.15
2001,6,20,316.34
2001,6,21,443.94
2001,6,22,679.56
2001,6,23,695.88
2001,6,24,745.59
2001,6,25,918.68
2001,6,26,794.10
2001,6,27,710.22
2001,6,28,559.97
2001,6,29,413.76
2001,6,30,482.38
2001,7,1,349.64
2001,7,2,293.76
2001,7,3,295.00
2001,7,4,295.84
2001,7,5,264.72
2001,7,6,267.06
2001,7,7,278.08
2001,7,8,287.19
2001,7,9,210.76
2001,7,10,227.57
2001,7,11,228.51
2001,7,12,221.73
2001,7,13,210.52
2001,7,14,208.74
2001,7,15,145.00
2001,7,16,179.75
2001,7,17,191.78
2001,7,18,110.04
2001,7,19,89.31
2001,7,20,92.16
2001,7,21,150.35
2001,7,22,149.77
2001,7,23,162.35
2001,7,24,348.47
2001,7,25,678.92
2001,7,26,1521.73
2001,7,27,1177.95
2001,7,28,1077.37
2001,7,29,732.18
2001,7,30,506.75
2001,7,31,310.04
2001,8,1,335.74
2001,8,2,323.03
2001,8,3,239.53
2001,8,4,271.30
2001,8,5,201.71
2001,8,6,135.56
2001,8,7,137.50
2001,8,8,102.79
2001,8,9,85.79
2001,8,10,135.25
2001,8,11,77.86
2001,8,12,48.69
2001,8,13,105.27
2001,8,14,107.67
2001,8,15,71.70
2001,8,16,91.40
2001,8,17,204.11
2001,8,18,93.75
2001,8,19,81.86
2001,8,20,78.26
2001,8,21,37.59
2001,8,22,131.97
2001,8,23,423.17
2001,8,24,1173.67
2001,8,25,1694.64
2001,8,26,811.77
2001,8,27,497.70
2001,8,28,380.81
2001,8,29,309.98
2001,8,30,200.30
2001,8,31,201.31
2001,9,1,98.75
2001,9,2,159.53
2001,9,3,130.38
2001,9,4,140.11
2001,9,5,108.41
2001,9,6,61.26
2001,9,7,72.04
2001,9,8,59.10
2001,9,9,57.07
2001,9,10,175.54
2001,9,11,231.21
2001,9,12,358.95
2001,9,13,324.91
2001,9,14,245.37
2001,9,15,177.63
2001,9,16,100.21
2001,9,17,84.78
2001,9,18,122.09
2001,9,19,186.17
2001,9,20,302.01
2001,9,21,449.48
2001,9,22,854.51
2001,9,23,651.99
2001,9,24,506.07
2001,9,25,460.62
2001,9,26,527.29
2001,9,27,377.02
2001,9,28,365.13
2001,9,29,343.28
2001,9,30,227.74
2001,10,1,181.77
2001,10,2,145.18
2001,10,3,160.52
2001,10,4,145.14
2001,10,5,205.44
2001,10,6,428.77
2001,10,7,671.58
2001,10,8,1376.88
2001,10,9,1261.56
2001,10,10,1147.81
2001,10,11,991.75
2001,10,12,5055.32
2001,10,13,30300.99
2001,10,14,33771.74
2001,10,15,27120.62
2001,10,16,31204.12
2001,10,17,56754.86
2001,10,18,55103.75
2001,10,19,34860.06
2001,10,20,18844.16
2001,10,21,10796.20
2001,10,22,8964.24
2001,10,23,17952.26
