Year,Month,Day,NO3(mg/L)
1975,10,22,2.3100
1975,10,23,3.0500
1975,10,24,3.3300
1975,10,25,3.1600
1975,10,26,3.3300
1975,10,27,3.2300
1975,10,27,3.2400
1975,10,28,3.3100
1975,10,29,3.4300
1975,10,30,3.8600
1975,10,31,4.1100
1975,11,1,4.1800
1975,11,2,4.2500
1975,11,3,4.2400
1975,11,3,4.5800
1975,11,4,4.3100
1975,11,5,4.1100
1975,11,6,3.8400
1975,11,7,3.5200
1975,11,8,3.2000
1975,11,9,3.0200
1975,11,10,2.6800
1975,11,10,2.5800
1975,11,11,2.5400
1975,11,12,2.3800
1975,11,13,2.5200
1975,11,14,1.9900
1975,11,15,1.6300
1975,11,16,1.6100
1975,11,17,1.6500
1975,11,24,1.9900
1975,11,25,1.9000
1975,11,26,2.1200
1975,11,27,2.1800
1975,11,28,2.3000
1975,11,29,1.6100
1975,11,30,3.6900
1975,12,1,3.9900
1975,12,1,4.9000
1975,12,2,5.3000
1975,12,3,5.1000
1975,12,4,5.4000
1975,12,5,6.2000
1975,12,6,6.7000
1975,12,7,6.8000
1975,12,8,6.6000
1975,12,8,5.5000
1975,12,9,5.1000
1975,12,10,5.0000
1975,12,11,4.7000
1975,12,12,4.4000
1975,12,13,4.4000
1975,12,14,4.4000
1975,12,14,4.4000
1975,12,15,4.6000
1975,12,15,5.0000
1975,12,15,5.9000
1975,12,15,6.5000
1975,12,15,7.0000
1975,12,16,6.8000
1975,12,16,6.5000
1975,12,16,6.2000
1975,12,16,6.3000
1975,12,17,6.3000
1975,12,17,6.1000
1975,12,17,6.2000
1975,12,17,6.1000
1975,12,18,6.2000
1975,12,18,6.3000
1975,12,18,6.4000
1975,12,18,6.4000
1975,12,19,6.5000
1975,12,19,6.6000
1975,12,19,6.5000
1975,12,19,6.5000
1975,12,20,6.5000
1975,12,20,6.5000
1975,12,20,6.5000
1975,12,20,6.4000
1975,12,21,6.4000
1975,12,21,6.3000
1975,12,21,6.3000
1975,12,21,6.2000
1975,12,22,6.1000
1975,12,22,6.1000
1975,12,23,6.0000
1975,12,24,5.8000
1975,12,25,5.6000
1975,12,26,5.4000
1975,12,27,5.3000
1975,12,28,5.1000
1975,12,29,4.9000
1975,12,29,5.1000
1975,12,30,5.3000
1975,12,31,5.1000
1976,1,1,5.2000
1976,1,2,4.3000
1976,1,3,4.5000
1976,1,4,4.4000
1976,1,5,4.2000
1976,1,6,4.2000
1976,1,7,4.3000
1976,1,8,4.5000
1976,1,9,4.6000
1976,1,10,4.7000
1976,1,11,4.7000
1976,1,12,4.6000
1976,1,13,4.7000
1976,1,14,4.5000
1976,1,15,4.5000
1976,1,16,4.7000
1976,1,17,4.4000
1976,1,18,5.2000
1976,1,19,4.9000
1976,1,19,4.5000
1976,1,20,3.6000
1976,1,21,3.5000
1976,1,22,3.3000
1976,1,23,3.2000
1976,1,24,3.2000
1976,1,25,3.1000
1976,1,25,3.0000
1976,1,26,3.0000
1976,1,26,2.5000
1976,1,26,2.5000
1976,1,26,2.2000
1976,1,27,2.2000
1976,1,27,2.4000
1976,1,27,2.3000
1976,1,27,2.4000
1976,1,28,2.4000
1976,1,28,2.6000
1976,1,28,2.8000
1976,1,28,2.4000
1976,1,29,2.1000
1976,1,29,2.2000
1976,1,29,2.0000
1976,1,29,2.2000
1976,1,30,2.1000
1976,1,30,2.2000
1976,1,30,2.2000
1976,1,30,2.3000
1976,1,31,2.2000
1976,1,31,2.2000
1976,1,31,2.2000
1976,1,31,2.3000
1976,2,1,2.3000
1976,2,1,2.3000
1976,2,1,2.3000
1976,2,1,2.4000
1976,2,2,2.5000
1976,2,2,2.7000
1976,2,2,2.7000
1976,2,2,2.8000
1976,2,3,2.8000
1976,2,3,2.6000
1976,2,4,2.7000
1976,2,5,2.6000
1976,2,6,2.6000
1976,2,7,2.6000
1976,2,8,2.6000
1976,2,9,2.6000
1976,2,9,1.7000
1976,2,9,1.7000
1976,2,9,1.8000
1976,2,10,1.8000
1976,2,10,1.8000
1976,2,10,1.9000
1976,2,10,1.7000
1976,2,11,1.1000
1976,2,11,1.3000
1976,2,11,1.3000
1976,2,11,1.2000
