year,month,day,nitrate(kg)
2001,2,14,296841.54
2001,2,15,390941.09
2001,2,16,458244.07
2001,2,17,405519.72
2001,2,18,299950.32
2001,2,19,227805.17
2001,2,20,169952.56
2001,2,21,131717.54
2001,2,22,105735.44
2001,2,23,91770.90
2001,2,24,69771.33
2001,2,25,114129.63
2001,2,26,261998.45
2001,2,27,237071.96
2001,2,28,187980.69
2001,3,1,154873.85
2001,3,2,141893.32
2001,3,3,120154.06
2001,3,4,103886.32
2001,3,5,86019.50
2001,3,6,58827.32
2001,3,7,44646.02
2001,3,8,38753.69
2001,3,9,33115.57
2001,3,10,31372.88
2001,3,11,27606.62
2001,3,12,26594.23
2001,3,13,36943.23
2001,3,14,40675.23
2001,3,15,34472.44
2001,3,16,33301.75
2001,3,17,36703.47
2001,3,18,37052.59
2001,3,19,57476.33
2001,3,20,87223.94
2001,3,21,89965.33
2001,3,22,79327.63
2001,3,23,70042.41
2001,3,24,63671.78
2001,3,25,53433.12
2001,3,26,47098.21
2001,3,27,34212.86
2001,3,28,30906.07
2001,3,29,27651.64
2001,3,30,26757.66
2001,3,31,24939.13
2001,4,1,24027.29
2001,4,2,20047.21
2001,4,3,14659.86
2001,4,4,12240.69
2001,4,5,10872.56
2001,4,6,90151.27
2001,4,7,353277.10
2001,4,8,315645.16
2001,4,9,255774.37
2001,4,10,168228.70
2001,4,11,116209.70
2001,4,12,189327.94
2001,4,13,253102.72
2001,4,14,239441.06
2001,4,15,160977.56
2001,4,16,130483.81
2001,4,17,179953.16
2001,4,18,170752.59
2001,4,19,122329.55
2001,4,20,94573.45
2001,4,21,141098.67
2001,4,22,196777.75
2001,4,23,107939.47
2001,4,24,229791.13
2001,4,25,145951.69
2001,4,26,115284.90
2001,4,27,70438.75
2001,4,28,67332.09
2001,4,29,53852.46
2001,4,30,39508.83
2001,5,1,26014.39
2001,5,2,23623.61
2001,5,3,25241.28
2001,5,4,16653.32
2001,5,5,11329.09
2001,5,6,12983.22
2001,5,7,13176.62
2001,5,8,18551.86
2001,5,9,16514.36
2001,5,10,16429.95
2001,5,11,12433.48
2001,5,12,10537.38
2001,5,13,9057.94
2001,5,14,9831.18
2001,5,15,28090.56
2001,5,16,450996.10
2001,5,17,561304.67
2001,5,18,440970.87
2001,5,19,565467.92
2001,5,20,498179.05
2001,5,21,430229.60
2001,5,22,334813.31
2001,5,23,238110.62
2001,5,24,221442.86
2001,5,25,235343.05
2001,5,26,340386.60
2001,5,27,555159.70
2001,5,28,649440.78
2001,5,29,578561.16
2001,5,30,443879.84
2001,5,31,282816.08
2001,6,1,235243.72
2001,6,2,201442.87
2001,6,3,249953.98
2001,6,4,201258.89
2001,6,5,153494.23
2001,6,6,259434.44
2001,6,7,544423.33
2001,6,8,407133.97
2001,6,9,261942.18
2001,6,10,202437.40
2001,6,11,179528.44
2001,6,12,140934.02
2001,6,13,121457.60
2001,6,14,98278.78
2001,6,15,72431.97
2001,6,16,66530.11
2001,6,17,48922.13
2001,6,18,37833.29
2001,6,19,26997.67
2001,6,20,21468.67
2001,6,21,25959.59
2001,6,22,33570.88
2001,6,23,27157.68
2001,6,24,30704.47
2001,6,25,37005.01
2001,6,26,28360.66
2001,6,27,17917.71
2001,6,28,13163.29
2001,6,29,12330.72
2001,6,30,13774.93
2001,7,1,11439.92
2001,7,2,8699.52
2001,7,3,7749.02
2001,7,4,6605.37
2001,7,5,4849.11
2001,7,6,4031.80
2001,7,7,3491.72
2001,7,8,2935.59
2001,7,9,2770.74
2001,7,10,2686.92
2001,7,11,1814.16
2001,7,12,1082.02
2001,7,13,761.91
2001,7,14,568.09
2001,7,15,297.87
2001,7,16,74.28
2001,7,17,39.49
2001,7,18,56.52
2001,7,19,43.74
2001,7,20,29.85
2001,7,21,24.37
2001,7,22,28.53
2001,7,23,0.00
2001,7,24,23.34
2001,7,25,36.70
2001,7,26,223.13
2001,7,27,183.98
2001,7,28,98.84
2001,7,29,159.52
2001,7,30,259.95
2001,7,31,3661.25
2001,8,1,44.23
2001,8,2,258.95
2001,8,3,274.80
2001,8,4,649.93
2001,8,5,371.88
2001,8,6,283.97
2001,8,7,0.00
2001,8,8,17.17
2001,8,9,0.00
2001,8,10,17.17
2001,8,11,0.00
2001,8,12,83.89
2001,8,13,14.29
2001,8,14,13.85
2001,8,15,20.36
2001,8,16,13.65
2001,8,17,26.72
2001,8,18,11.11
2001,8,19,10.81
2001,8,20,14.97
2001,8,21,2.62
2001,8,22,24.51
2001,8,23,23.85
2001,8,24,64.10
2001,8,25,1957.50
2001,8,26,1614.74
2001,8,27,1834.19
2001,8,28,1023.16
2001,8,29,1254.38
2001,8,30,778.16
2001,8,31,585.02
2001,9,1,457.78
2001,9,2,595.81
2001,9,3,559.33
2001,9,4,467.19
2001,9,5,334.03
2001,9,6,190.05
2001,9,7,203.96
2001,9,8,155.04
2001,9,9,28.18
2001,9,10,329.85
2001,9,11,377.03
2001,9,12,560.02
2001,9,13,219.53
2001,9,14,494.77
2001,9,15,361.95
2001,9,16,199.20
2001,9,17,136.69
2001,9,18,216.28
2001,9,19,266.19
2001,9,20,309.15
2001,9,21,984.26
2001,9,22,8687.78
2001,9,23,7530.55
2001,9,24,4128.34
2001,9,25,3278.41
2001,9,26,4266.82
2001,9,27,2560.34
2001,9,28,2849.77
2001,9,29,3539.68
2001,9,30,2627.76
2001,10,1,2279.65
2001,10,2,1987.55
2001,10,3,1522.94
2001,10,4,1218.20
2001,10,5,2191.79
2001,10,6,6744.22
2001,10,7,15640.44
2001,10,8,38117.58
2001,10,9,30647.47
2001,10,10,21772.53
2001,10,11,17924.56
2001,10,12,85629.88
2001,10,13,376124.49
2001,10,14,342627.66
2001,10,15,257011.36
2001,10,16,299093.37
2001,10,17,432543.08
2001,10,18,444358.06
2001,10,19,360974.91
2001,10,20,260752.98
2001,10,21,177064.91
2001,10,22,166758.31
2001,10,23,314492.09
2001,10,24,337814.44
2001,10,25,415214.18
2001,10,26,444507.79
2001,10,27,316888.10
2001,10,28,199300.16
2001,10,29,123058.47
2001,10,30,91255.16
2001,10,31,65119.42
2001,11,1,55972.66
2001,11,2,38079.42
2001,11,3,31728.12
2001,11,4,30818.24
2001,11,5,25932.68
2001,11,6,19518.50
2001,11,7,19714.47
2001,11,8,20463.12
2001,11,9,15440.80
2001,11,10,14385.84
2001,11,11,14296.54
2001,11,12,12313.59
2001,11,13,11213.13
2001,11,14,9670.81
2001,11,15,10667.54
2001,11,16,10124.40
2001,11,17,9491.23
2001,11,18,8001.27
2001,11,19,7093.59
2001,11,20,6884.65
2001,11,21,7112.18
2001,11,22,6023.61
2001,11,23,6216.58
2001,11,24,6632.29
2001,11,25,10423.45
2001,11,26,7339.71
2001,11,27,9133.54
2001,11,28,9083.63
2001,11,29,14865.37
2001,11,30,120057.42
2001,12,1,341500.61
2001,12,2,361466.26
2001,12,3,279168.49
2001,12,4,200065.94
2001,12,5,150448.98
2001,12,6,114283.27
2001,12,7,95521.98
2001,12,8,68240.26
2001,12,9,52422.93
2001,12,10,42165.93
2001,12,11,33344.32
2001,12,12,30876.96
2001,12,13,26723.41
2001,12,14,31845.19
2001,12,15,235619.52
2001,12,16,323395.98
2001,12,17,442664.30
2001,12,18,702733.63
2001,12,19,647098.59
2001,12,20,514134.77
2001,12,21,400836.49
2001,12,22,269073.94
2001,12,23,201732.05
2001,12,24,146597.59
2001,12,25,106563.85
2001,12,26,79802.27
2001,12,27,56809.39
2001,12,28,41474.28
2001,12,29,38095.57
2001,12,30,31058.00
2001,12,31,28043.83
2002,1,1,26481.69
2002,1,2,19264.30
2002,1,3,19085.70
2002,1,4,19181.12
2002,1,5,18165.79
2002,1,6,17397.57
2002,1,7,12055.73
2002,1,8,15919.11
2002,1,9,15068.19
2002,1,10,15061.09
2002,1,11,14867.82
2002,1,12,16558.40
2002,1,13,15887.55
2002,1,14,14486.64
2002,1,15,14107.91
2002,1,16,13991.94
2002,1,17,13135.64
2002,1,18,13802.09
2002,1,19,16276.55
2002,1,20,15002.38
2002,1,21,11763.48
2002,1,22,13097.72
2002,1,23,12242.64
2002,1,24,11196.73
2002,1,25,11282.36
2002,1,26,10971.41
2002,1,27,11939.27
2002,1,28,11693.27
2002,1,29,12435.92
2002,1,30,41241.37
2002,1,31,392025.57
2002,2,1,820580.09
2002,2,2,831930.55
2002,2,3,705523.54
2002,2,4,567778.30
2002,2,5,402187.81
2002,2,6,281639.53
2002,2,7,215048.74
2002,2,8,156159.77
2002,2,9,103949.93
2002,2,10,86431.01
2002,2,11,62564.46
2002,2,12,61361.24
2002,2,13,58644.32
2002,2,14,55159.42
2002,2,15,50831.19
2002,2,16,40652.23
2002,2,17,34198.18
2002,2,18,31915.04
2002,2,19,28754.07
2002,2,20,31400.28
2002,2,21,92000.88
2002,2,22,128098.57
2002,2,23,102826.47
2002,2,24,75182.16
2002,2,25,65558.33
2002,2,26,60589.83
2002,2,27,82306.09
2002,2,28,75065.71
2002,3,1,65962.01
2002,3,2,56487.91
2002,3,3,178989.54
2002,3,4,268119.77
2002,3,5,230659.09
2002,3,6,161395.43
2002,3,7,123416.44
2002,3,8,110609.50
2002,3,9,103771.82
2002,3,10,179089.04
2002,3,11,186167.78
2002,3,12,151713.53
2002,3,13,109159.50
2002,3,14,91328.07
2002,3,15,78314.75
2002,3,16,72701.10
2002,3,17,55680.54
2002,3,18,51300.45
2002,3,19,38037.34
2002,3,20,43509.83
2002,3,21,30179.44
2002,3,22,26735.64
2002,3,23,20705.33
2002,3,24,20871.70
2002,3,25,23831.07
2002,3,26,22794.71
2002,3,27,26263.52
2002,3,28,32734.34
2002,3,29,41779.82
2002,3,30,307721.94
