year,month,day,flow (cms),,,,,
2001,2,6,169.9008,,,,,
2001,2,7,147.24736,,,,,
2001,2,8,141.584,,,,,
2001,2,9,339.8016,,,,,
2001,2,10,1127.00864,,,,,
2001,2,11,1169.48384,,,,,
2001,2,12,894.81088,,,,,
2001,2,13,673.93984,,,,,
2001,2,14,521.02912,,,,,
2001,2,15,659.78144,,,,,
2001,2,16,756.05856,,,,,
2001,2,17,648.45472,,,,,
2001,2,18,472.89056,,,,,
2001,2,19,319.97984,,,,,
2001,2,20,244.657152,,,,,
2001,2,21,195.952256,,,,,
2001,2,22,159.140416,,,,,
2001,2,23,137.053312,,,,,
2001,2,24,109.869184,,,,,
2001,2,25,193.120576,,,,,
2001,2,26,390.77184,,,,,
2001,2,27,421.92032,,,,,
2001,2,28,336.96992,,,,,
2001,3,1,266.744256,,,,,
2001,3,2,223.136384,,,,,
2001,3,3,193.686912,,,,,
2001,3,4,178.39584,,,,,
2001,3,5,160.839424,,,,,
2001,3,6,125.160256,,,,,
2001,3,7,94.294944,,,,,
2001,3,8,81.552384,,,,,
2001,3,9,71.641504,,,,,
2001,3,10,66.261312,,,,,
2001,3,11,63.146464,,,,,
2001,3,12,56.6336,,,,,
2001,3,13,70.792,,,,,
2001,3,14,64.845472,,,,,
2001,3,15,56.916768,,,,,
2001,3,16,64.562304,,,,,
2001,3,17,73.62368,,,,,
2001,3,18,76.172192,,,,,
2001,3,19,114.399872,,,,,
2001,3,20,159.98992,,,,,
2001,3,21,179.528512,,,,,
2001,3,22,158.57408,,,,,
2001,3,23,131.389952,,,,,
2001,3,24,113.550368,,,,,
2001,3,25,99.1088,,,,,
2001,3,26,87.498912,,,,,
2001,3,27,65.12864,,,,,
2001,3,28,56.067264,,,,,
2001,3,29,53.518752,,,,,
2001,3,30,52.669248,,,,,
2001,3,31,52.38608,,,,,
2001,4,1,52.669248,,,,,
2001,4,2,48.13856,,,,,
2001,4,3,39.64352,,,,,
2001,4,4,33.413824,,,,,
2001,4,5,31.14848,,,,,
2001,4,6,222.003712,,,,,
2001,4,7,724.91008,,,,,
2001,4,8,628.63296,,,,,
2001,4,9,407.76192,,,,,
2001,4,10,266.17792,,,,,
2001,4,11,189.439392,,,,,
2001,4,12,297.3264,,,,,
2001,4,13,419.08864,,,,,
2001,4,14,365.28672,,,,,
2001,4,15,249.754176,,,,,
2001,4,16,181.22752,,,,,
2001,4,17,246.922496,,,,,
2001,4,18,248.904672,,,,,
2001,4,19,193.686912,,,,,
2001,4,20,139.884992,,,,,
2001,4,21,201.615616,,,,,
2001,4,22,297.3264,,,,,
2001,4,23,328.47488,,,,,
2001,4,24,276.371968,,,,,
2001,4,25,192.837408,,,,,
2001,4,26,159.98992,,,,,
2001,4,27,122.045408,,,,,
2001,4,28,106.754336,,,,,
2001,4,29,88.914752,,,,,
2001,4,30,73.340512,,,,,
