year,month,day,sediment(t)
2001,5,2,202.24
2001,5,3,134.45
2001,5,4,140.48
2001,5,5,159.07
2001,5,6,104.53
2001,5,7,115.00
2001,5,8,125.08
2001,5,9,136.38
2001,5,10,115.40
2001,5,11,89.41
2001,5,12,78.21
2001,5,13,98.11
2001,5,14,55.38
2001,5,15,218.17
2001,5,16,8900.16
2001,5,17,8529.03
2001,5,18,4857.00
2001,5,19,10493.14
2001,5,20,11394.60
2001,5,21,6944.35
2001,5,22,4168.71
2001,5,23,1441.81
2001,5,24,1084.06
2001,5,25,1254.36
2001,5,26,3553.26
2001,5,27,12664.56
2001,5,28,22840.55
2001,5,29,16162.87
2001,5,30,7551.91
2001,5,31,2590.68
2001,6,1,1463.95
2001,6,2,900.87
2001,6,3,1553.69
2001,6,4,1456.46
2001,6,5,1028.30
2001,6,6,2003.22
2001,6,7,13120.60
2001,6,8,10819.45
2001,6,9,3668.60
2001,6,10,1387.31
2001,6,11,777.57
2001,6,12,385.71
2001,6,13,339.83
2001,6,14,273.88
2001,6,15,225.62
2001,6,16,220.87
2001,6,17,197.05
2001,6,18,203.38
2001,6,19,206.11
2001,6,20,135.58
2001,6,21,177.79
2001,6,22,218.78
2001,6,23,270.82
2001,6,24,281.12
2001,6,25,308.15
2001,6,26,205.77
2001,6,27,249.55
2001,6,28,170.57
2001,6,29,147.89
2001,6,30,208.80
2001,7,1,118.98
2001,7,2,98.12
2001,7,3,97.55
2001,7,4,94.07
2001,7,5,81.52
2001,7,6,81.03
2001,7,7,84.95
2001,7,8,85.91
2001,7,9,65.24
2001,7,10,57.48
2001,7,11,69.84
2001,7,12,66.95
2001,7,13,71.32
2001,7,14,75.72
2001,7,15,38.08
2001,7,16,53.57
2001,7,17,42.69
2001,7,18,28.15
2001,7,19,22.55
2001,7,20,27.39
2001,7,21,28.58
2001,7,22,25.47
2001,7,23,33.46
2001,7,24,56.58
2001,7,25,105.42
2001,7,26,218.58
2001,7,27,210.00
2001,7,28,265.03
2001,7,29,183.70
2001,7,30,118.23
2001,7,31,65.81
2001,8,1,76.70
2001,8,2,61.94
2001,8,3,58.52
2001,8,4,81.10
2001,8,5,59.45
2001,8,6,34.97
2001,8,7,33.18
2001,8,8,19.35
2001,8,9,13.03
2001,8,10,23.13
2001,8,11,19.28
2001,8,12,11.35
2001,8,13,21.82
2001,8,14,24.22
2001,8,15,11.51
2001,8,16,15.04
2001,8,17,39.22
2001,8,18,19.60
2001,8,19,14.82
2001,8,20,8.99
2001,8,21,4.41
2001,8,22,21.49
2001,8,23,63.94
2001,8,24,170.53
2001,8,25,333.13
2001,8,26,204.04
2001,8,27,118.83
2001,8,28,99.20
2001,8,29,95.04
2001,8,30,57.81
2001,8,31,42.90
2001,9,1,39.32
2001,9,2,53.43
2001,9,3,32.76
2001,9,4,36.22
2001,9,5,29.09
2001,9,6,17.15
2001,9,7,19.81
2001,9,8,16.02
2001,9,9,15.52
2001,9,10,46.57
2001,9,11,59.94
2001,9,12,90.58
2001,9,13,82.55
2001,9,14,62.97
2001,9,15,45.98
2001,9,16,23.50
2001,9,17,17.09
2001,9,18,27.14
2001,9,19,44.85
2001,9,20,76.55
2001,9,21,114.40
2001,9,22,189.62
2001,9,23,128.86
2001,9,24,108.95
2001,9,25,85.45
2001,9,26,106.65
2001,9,27,65.90
2001,9,28,78.33
2001,9,29,73.39
2001,9,30,60.80
2001,10,1,39.71
2001,10,2,29.05
2001,10,3,44.17
2001,10,4,46.35
2001,10,5,51.90
2001,10,6,92.61
2001,10,7,128.86
2001,10,8,260.07
2001,10,9,229.78
2001,10,10,273.84
2001,10,11,178.47
2001,10,12,1659.08
2001,10,13,12923.07
2001,10,14,15367.78
2001,10,15,13420.19
2001,10,16,15584.71
2001,10,17,30132.56
2001,10,18,29385.09
2001,10,19,17705.55
2001,10,20,8631.64
2001,10,21,3063.38
2001,10,22,2290.63
2001,10,23,8589.57
2001,10,24,10903.28
2001,10,25,21256.91
2001,10,26,28459.76
2001,10,27,16131.12
2001,10,28,6648.87
2001,10,29,2790.24
2001,10,30,1900.21
2001,10,31,923.84
2001,11,1,1835.06
2001,11,2,370.58
2001,11,3,288.64
2001,11,4,278.92
2001,11,5,181.74
2001,11,6,116.44
2001,11,7,129.14
2001,11,8,222.36
2001,11,9,99.00
2001,11,10,99.09
2001,11,11,63.83
2001,11,12,59.51
2001,11,13,63.19
2001,11,14,57.15
2001,11,15,67.18
2001,11,16,75.55
2001,11,17,73.08
2001,11,18,64.26
2001,11,19,58.01
2001,11,20,50.29
2001,11,21,130.38
2001,11,22,41.72
2001,11,23,50.93
2001,11,24,49.19
2001,11,25,81.31
2001,11,26,87.12
2001,11,27,95.33
2001,11,28,91.98
2001,11,29,137.64
2001,11,30,3029.89
2001,12,1,14282.07
2001,12,2,14705.97
2001,12,3,5954.92
2001,12,4,2575.20
2001,12,5,1484.34
2001,12,6,962.75
2001,12,7,632.86
2001,12,8,441.88
2001,12,9,209.61
2001,12,10,146.30
2001,12,11,100.54
2001,12,12,77.41
2001,12,13,168.83
2001,12,14,343.47
2001,12,15,4575.62
2001,12,16,10979.50
2001,12,17,13637.78
2001,12,18,28210.00
2001,12,19,25616.37
2001,12,20,11840.77
2001,12,21,6419.90
2001,12,22,2601.43
2001,12,23,1916.23
2001,12,24,1224.09
2001,12,25,796.99
2001,12,26,398.42
2001,12,27,302.61
2001,12,28,146.33
2001,12,29,113.70
2001,12,30,108.64
2001,12,31,77.71
2002,1,1,59.93
2002,1,2,61.47
2002,1,3,47.79
2002,1,4,53.68
2002,1,5,37.28
2002,1,6,30.10
2002,1,7,26.78
2002,1,8,23.80
2002,1,9,21.46
2002,1,10,20.09
2002,1,11,17.92
2002,1,12,19.90
2002,1,13,17.69
2002,1,14,12.85
2002,1,15,16.32
2002,1,16,17.65
2002,1,17,16.48
2002,1,18,13.29
2002,1,19,13.07
2002,1,20,11.29
2002,1,21,11.49
2002,1,22,12.90
2002,1,23,16.64
2002,1,24,18.90
2002,1,25,25.70
2002,1,26,31.00
2002,1,27,81.10
2002,1,28,26.15
2002,1,29,34.10
2002,1,30,653.47
2002,1,31,14174.51
2002,2,1,40703.86
2002,2,2,38098.85
2002,2,3,29772.01
2002,2,4,18597.50
2002,2,5,8950.35
2002,2,6,4842.49
2002,2,7,3151.66
2002,2,8,2235.91
2002,2,9,1107.63
2002,2,10,580.90
2002,2,11,670.14
2002,2,12,722.95
2002,2,13,442.95
2002,2,14,406.17
2002,2,15,416.68
2002,2,16,397.13
2002,2,17,142.37
2002,2,18,98.36
2002,2,19,86.22
2002,2,20,93.85
2002,2,21,1318.25
2002,2,22,1501.03
2002,2,23,688.58
2002,2,24,365.65
2002,2,25,360.57
2002,2,26,283.15
2002,2,27,480.89
2002,2,28,445.44
2002,3,1,212.48
2002,3,2,145.18
2002,3,3,4009.66
2002,3,4,16217.91
2002,3,5,11620.72
2002,3,6,5991.91
2002,3,7,2844.36
2002,3,8,1559.61
2002,3,9,2115.51
2002,3,10,6229.71
2002,3,11,8754.55
2002,3,12,7121.86
2002,3,13,2742.50
2002,3,14,1578.96
2002,3,15,1171.82
2002,3,16,811.22
2002,3,17,783.43
2002,3,18,428.68
2002,3,19,307.58
2002,3,20,327.17
2002,3,21,226.87
2002,3,22,211.73
2002,3,23,277.45
2002,3,24,109.11
2002,3,25,253.81
2002,3,26,151.18
2002,3,27,244.92
2002,3,28,320.91
2002,3,29,411.74
2002,3,30,11198.10
2002,3,31,41286.35
2002,4,1,41912.13
2002,4,2,17709.65
2002,4,3,14250.67
2002,4,4,11339.18
2002,4,5,6746.01
2002,4,6,4002.65
2002,4,7,5325.88
2002,4,8,2476.63
2002,4,9,14350.28
2002,4,10,21381.70
2002,4,11,17594.69
2002,4,12,9333.24
2002,4,13,15430.00
2002,4,14,24957.62
2002,4,15,21610.81
2002,4,16,12714.44
2002,4,17,7672.06
2002,4,18,4068.85
2002,4,19,1986.30
2002,4,20,1343.76
2002,4,21,1075.77
2002,4,22,560.04
2002,4,23,377.81
2002,4,24,391.05
2002,4,25,333.83
2002,4,26,325.95
2002,4,27,255.77
2002,4,28,463.90
2002,4,29,478.53
2002,4,30,872.18
2002,5,1,869.75
2002,5,2,632.55
2002,5,3,6546.87
2002,5,4,2000.61
2002,5,5,1248.59
2002,5,6,976.85
2002,5,7,431.31
2002,5,8,491.40
2002,5,9,573.85
2002,5,10,850.34
2002,5,11,692.18
2002,5,12,2655.87
2002,5,13,15578.91
2002,5,14,25171.54
2002,5,15,22378.19
2002,5,16,16174.86
2002,5,17,14436.05
2002,5,18,9770.99
2002,5,19,6428.60
2002,5,20,2846.60
2002,5,21,1393.03
2002,5,22,751.24
2002,5,23,570.21
2002,5,24,325.86
2002,5,25,275.61
2002,5,26,296.18
2002,5,27,442.85
2002,5,28,396.52
2002,5,29,533.04
2002,5,30,176.32
2002,5,31,716.80
2002,6,1,648.82
2002,6,2,272.92
2002,6,3,197.36
2002,6,4,228.05
2002,6,5,287.22
2002,6,6,1636.16
2002,6,7,1254.76
2002,6,8,604.35
2002,6,9,334.29
2002,6,10,194.85
2002,6,11,212.69
2002,6,12,171.09
2002,6,13,300.00
2002,6,14,282.79
2002,6,15,215.52
2002,6,16,78.92
2002,6,17,86.85
2002,6,18,97.88
2002,6,19,124.43
2002,6,20,99.00
2002,6,21,136.55
2002,6,22,93.17
2002,6,23,79.42
2002,6,24,82.42
2002,6,25,93.84
2002,6,26,157.00
2002,6,27,213.71
2002,6,28,426.71
2002,6,29,587.83
2002,6,30,306.92
2002,7,1,230.58
2002,7,2,179.92
2002,7,3,114.10
2002,7,4,70.61
2002,7,5,77.94
2002,7,6,44.64
2002,7,7,24.36
2002,7,8,38.14
2002,7,9,60.33
2002,7,10,54.98
2002,7,11,70.47
2002,7,12,30.52
2002,7,13,28.88
2002,7,14,4.55
2002,7,15,22.82
2002,7,16,22.57
2002,7,17,26.79
2002,7,18,23.88
2002,7,19,13.32
2002,7,20,11.76
2002,7,21,15.19
2002,7,22,32.89
2002,7,23,29.20
2002,7,24,22.08
2002,7,25,28.22
2002,7,26,35.12
2002,7,27,54.76
2002,7,28,43.63
2002,7,29,43.84
2002,7,30,92.13
2002,7,31,95.42
2002,8,1,143.67
2002,8,2,73.13
2002,8,3,60.22
2002,8,4,64.42
2002,8,5,43.14
2002,8,6,42.68
2002,8,7,58.61
2002,8,8,30.50
2002,8,9,37.13
2002,8,10,30.97
2002,8,11,24.25
2002,8,12,19.48
2002,8,13,14.52
2002,8,14,25.99
2002,8,15,20.25
2002,8,16,23.51
2002,8,17,20.59
2002,8,18,25.15
2002,8,19,31.00
2002,8,20,31.77
2002,8,21,18.83
2002,8,22,45.52
2002,8,23,62.33
2002,8,24,107.40
2002,8,25,175.36
2002,8,26,103.85
2002,8,27,103.14
2002,8,28,65.44
2002,8,29,21.51
2002,8,30,27.27
2002,8,31,16.22
2002,9,1,11.52
2002,9,2,12.61
2002,9,3,19.01
2002,9,4,10.18
2002,9,5,6.36
2002,9,6,10.97
2002,9,7,10.68
2002,9,8,10.47
2002,9,9,5.64
2002,9,10,5.21
2002,9,11,8.80
2002,9,12,5.18
2002,9,13,4.48
2002,9,14,5.40
2002,9,15,9.61
2002,9,16,9.76
2002,9,17,6.15
2002,9,18,6.08
2002,9,19,9.54
2002,9,20,11.61
2002,9,21,22.09
2002,9,22,17.52
2002,9,23,28.61
2002,9,24,30.73
2002,9,25,29.75
2002,9,26,18.11
2002,9,27,24.47
2002,9,28,31.02
2002,9,29,28.07
2002,9,30,48.14
2002,10,1,63.30
2002,10,2,61.10
2002,10,3,38.03
2002,10,4,25.49
2002,10,5,46.32
2002,10,6,26.01
2002,10,7,20.94
2002,10,8,10.40
2002,10,9,24.73
2002,10,10,19.54
2002,10,11,13.10
2002,10,12,11.24
2002,10,13,18.31
2002,10,14,11.14
2002,10,15,9.97
2002,10,16,13.44
2002,10,17,8.63
2002,10,18,7.91
2002,10,19,20.07
2002,10,20,7.80
2002,10,21,6.30
2002,10,22,11.53
2002,10,23,14.72
2002,10,24,10.97
2002,10,25,10.05
2002,10,26,12.65
2002,10,27,10.46
2002,10,28,10.14
2002,10,29,7.37
2002,10,30,16.41
2002,10,31,15.96
2002,11,1,11.21
2002,11,2,6.53
2002,11,3,2.82
2002,11,4,3.75
2002,11,5,2.54
2002,11,6,7.45
2002,11,7,7.33
2002,11,8,13.59
2002,11,9,6.18
2002,11,10,17.91
2002,11,11,50.00
2002,11,12,110.50
2002,11,13,177.37
2002,11,14,137.78
2002,11,15,82.30
2002,11,16,34.95
2002,11,17,30.78
2002,11,18,27.82
2002,11,19,22.78
2002,11,20,14.11
2002,11,21,17.11
2002,11,22,27.92
2002,11,23,17.34
2002,11,24,17.40
2002,11,25,23.01
2002,11,26,31.09
2002,11,27,34.99
2002,11,28,29.52
2002,11,29,48.33
2002,11,30,20.45
2002,12,1,16.27
2002,12,2,18.36
2002,12,3,24.54
2002,12,4,22.31
2002,12,5,20.53
2002,12,6,15.91
2002,12,7,13.00
2002,12,8,8.50
2002,12,9,8.06
2002,12,10,10.93
2002,12,11,10.88
2002,12,12,8.01
2002,12,13,5.91
2002,12,14,6.40
2002,12,15,6.44
2002,12,16,5.01
2002,12,17,8.84
2002,12,18,6.47
2002,12,19,31.02
2002,12,20,244.78
2002,12,21,5448.15
2002,12,22,2517.48
2002,12,23,2253.12
2002,12,24,854.95
2002,12,25,353.13
2002,12,26,338.64
2002,12,27,207.02
2002,12,28,176.96
2002,12,29,164.71
2002,12,30,85.05
2002,12,31,358.29
2003,1,1,5202.82
2003,1,2,8380.99
2003,1,3,7766.60
2003,1,4,4781.58
2003,1,5,1230.76
2003,1,6,442.06
2003,1,7,345.70
2003,1,8,260.17
2003,1,9,174.39
2003,1,10,191.32
2003,1,11,253.51
2003,1,12,307.88
2003,1,13,207.01
2003,1,14,69.41
2003,1,15,48.41
2003,1,16,42.30
2003,1,17,30.74
2003,1,18,26.66
2003,1,19,21.08
2003,1,20,11.34
2003,1,21,13.67
2003,1,22,12.94
2003,1,23,12.14
2003,1,24,9.66
2003,1,25,8.14
2003,1,26,10.15
2003,1,27,11.52
2003,1,28,31.28
2003,1,29,9.33
2003,1,30,10.75
2003,1,31,11.84
2003,2,1,9.26
2003,2,2,6.52
2003,2,3,9.06
2003,2,4,14.31
2003,2,5,41.56
2003,2,6,172.31
2003,2,7,119.16
2003,2,8,104.32
2003,2,9,143.10
2003,2,10,64.31
2003,2,11,53.31
2003,2,12,32.01
2003,2,13,22.69
2003,2,14,16.68
2003,2,15,14.27
2003,2,16,10.99
2003,2,17,24.07
2003,2,18,44.42
2003,2,19,24.48
2003,2,20,15.23
2003,2,21,9.49
2003,2,22,17.12
2003,2,23,70.14
2003,2,24,59.15
2003,2,25,151.01
2003,2,26,144.62
2003,2,27,117.23
2003,2,28,104.65
2003,3,1,110.66
2003,3,2,75.71
2003,3,3,61.16
2003,3,4,43.83
2003,3,5,33.20
2003,3,6,35.77
2003,3,7,40.96
2003,3,8,183.15
2003,3,9,96.09
2003,3,10,483.61
2003,3,11,1090.92
2003,3,12,2286.13
2003,3,13,2322.52
2003,3,14,6232.52
2003,3,15,12464.52
2003,3,16,37624.99
2003,3,17,15100.90
2003,3,18,8447.02
2003,3,19,5573.38
2003,3,20,2629.60
2003,3,21,2957.62
