year,month,day,TN(kg)
2002,7,19,1384.29
2002,7,20,857.24
2002,7,21,1546.79
2002,7,22,1857.15
2002,7,23,2182.53
2002,7,24,1882.18
2002,7,25,1822.11
2002,7,26,2913.37
2002,7,27,3143.64
2002,7,28,2838.29
2002,7,29,3644.22
2002,7,30,4683.07
2002,7,31,7558.75
2002,8,1,8059.33
2002,8,2,4980.77
2002,8,3,3689.27
2002,8,4,2867.55
2002,8,5,2151.62
2002,8,6,1799.42
2002,8,7,2291.84
2002,8,8,2706.03
2002,8,9,2282.63
2002,8,10,1753.40
2002,8,11,1316.91
2002,8,12,1090.91
2002,8,13,990.94
2002,8,14,1282.14
2002,8,15,1190.87
2002,8,16,1147.41
2002,8,17,1173.48
2002,8,18,1577.68
2002,8,19,1795.00
2002,8,20,1614.91
2002,8,21,1246.24
2002,8,22,2031.66
2002,8,23,2845.12
2002,8,24,5209.38
2002,8,25,7833.45
2002,8,26,5263.85
2002,8,27,4478.47
2002,8,28,2901.41
2002,8,29,1920.92
2002,8,30,1426.46
2002,8,31,915.55
2002,9,1,677.79
2002,9,2,787.80
2002,9,3,780.70
2002,9,4,532.30
2002,9,5,490.51
2002,9,6,414.72
2002,9,7,561.09
2002,9,8,635.20
2002,9,9,550.50
2002,9,10,550.50
2002,9,11,568.15
2002,9,12,319.01
2002,9,13,299.60
2002,9,14,284.07
2002,9,15,508.16
2002,9,16,543.44
2002,9,17,409.35
2002,9,18,363.47
2002,9,19,552.45
2002,9,20,590.30
2002,9,21,998.22
2002,9,22,821.89
2002,9,23,1606.25
2002,9,24,1978.52
2002,9,25,1243.30
2002,9,26,909.36
2002,9,27,1121.04
2002,9,28,1377.45
2002,9,29,1225.40
2002,9,30,2149.66
2002,10,1,2623.72
2002,10,2,2629.68
2002,10,3,1395.34
2002,10,4,1127.01
2002,10,5,1902.20
2002,10,6,1007.38
2002,10,7,926.35
2002,10,8,471.13
2002,10,9,760.04
2002,10,10,700.43
2002,10,11,490.12
2002,10,12,457.25
2002,10,13,696.11
2002,10,14,478.02
2002,10,15,422.60
2002,10,16,551.09
2002,10,17,413.90
2002,10,18,386.60
2002,10,19,883.73
2002,10,20,444.61
2002,10,21,318.03
2002,10,22,584.00
2002,10,23,859.12
2002,10,24,584.26
2002,10,25,530.03
2002,10,26,1003.01
2002,10,27,614.95
2002,10,28,497.50
2002,10,29,496.77
2002,10,30,1129.43
2002,10,31,1440.03
2002,11,1,1139.50
2002,11,2,581.90
2002,11,3,342.40
2002,11,4,430.88
2002,11,5,532.73
2002,11,6,1734.33
2002,11,7,1201.21
2002,11,8,865.94
2002,11,9,988.36
2002,11,10,2193.76
2002,11,11,2809.82
2002,11,12,7165.95
2002,11,13,24218.59
2002,11,14,16783.75
2002,11,15,12711.95
2002,11,16,10251.21
2002,11,17,7931.85
2002,11,18,7301.54
2002,11,19,7126.38
2002,11,20,4805.34
2002,11,21,5753.64
2002,11,22,8815.61
2002,11,23,8807.63
2002,11,24,10481.73
2002,11,25,14024.95
2002,11,26,30196.21
2002,11,27,41123.39
2002,11,28,32978.89
2002,11,29,25969.51
2002,11,30,19891.00
2002,12,1,20828.48
2002,12,2,20864.90
2002,12,3,23712.27
2002,12,4,21238.75
2002,12,5,20457.00
2002,12,6,16209.99
2002,12,7,14022.01
2002,12,8,8267.03
2002,12,9,8710.85
2002,12,10,13122.48
2002,12,11,14096.23
2002,12,12,11286.31
2002,12,13,8005.09
2002,12,14,8538.69
2002,12,15,7809.52
2002,12,16,7278.52
2002,12,17,9839.12
2002,12,18,9727.89
2002,12,19,24073.30
2002,12,20,317896.34
2002,12,21,444059.19
2002,12,22,386543.77
2002,12,23,306633.35
2002,12,24,125805.61
2002,12,25,106222.32
2002,12,26,81534.87
2002,12,27,81801.71
2002,12,28,80610.19
2002,12,29,57199.52
2002,12,30,50234.81
2002,12,31,234272.53
2003,1,1,794720.81
2003,1,2,673203.90
2003,1,3,511038.56
2003,1,4,285249.57
2003,1,5,220404.20
2003,1,6,141283.34
2003,1,7,109670.01
2003,1,8,93806.93
2003,1,9,85980.35
2003,1,10,81773.23
2003,1,11,126256.30
2003,1,12,198567.66
2003,1,13,129314.58
2003,1,14,81592.67
2003,1,15,61948.22
2003,1,16,52931.82
2003,1,17,41991.68
2003,1,18,34278.91
2003,1,19,30571.16
2003,1,20,27866.20
2003,1,21,29730.91
2003,1,22,28408.83
2003,1,23,25010.05
2003,1,24,20909.82
2003,1,25,21947.23
2003,1,26,21099.23
2003,1,27,25823.66
2003,1,28,28522.72
2003,1,29,26792.76
2003,1,30,24490.01
2003,1,31,23424.02
2003,2,1,21520.50
2003,2,2,18544.83
2003,2,3,17160.80
2003,2,4,29105.34
2003,2,5,55490.00
2003,2,6,86041.81
2003,2,7,110908.13
2003,2,8,93626.28
2003,2,9,62180.59
2003,2,10,27539.34
2003,2,11,21202.38
2003,2,12,14330.22
2003,2,13,11289.63
2003,2,14,8982.48
2003,2,15,7327.85
2003,2,16,5918.55
2003,2,17,11474.68
2003,2,18,17668.65
2003,2,19,10958.40
2003,2,20,7580.18
2003,2,21,5110.72
2003,2,22,8793.42
2003,2,23,20684.21
2003,2,24,26362.79
2003,2,25,43142.11
2003,2,26,60347.13
2003,2,27,36264.31
2003,2,28,31168.83
2003,3,1,25396.73
2003,3,2,18685.49
2003,3,3,15113.35
2003,3,4,12692.10
2003,3,5,11660.12
2003,3,6,13633.67
2003,3,7,18346.55
2003,3,8,55339.54
2003,3,9,49443.25
2003,3,10,63772.70
2003,3,11,125817.63
2003,3,12,109430.25
