year,month,day,flow (cms)
1976,11,14,6.229696
1976,11,15,5.6916768
1976,11,16,6.5411808
1976,11,17,7.8437536
1976,11,18,31.14848
1976,11,19,21.3508672
1976,11,20,11.5815712
1976,11,21,9.20296
1976,11,22,12.2611744
1976,11,23,9.061376
1976,11,24,4.1908864
1976,11,25,5.238608
1976,11,26,9.2879104
1976,11,27,11.8647392
1976,11,28,6.088112
1976,11,29,13.2522624
1976,11,30,11.2134528
1976,12,1,7.0792
1976,12,2,20.388096
1976,12,3,18.40592
1976,12,4,15.57424
1976,12,5,13.592064
1976,12,6,11.893056
1976,12,7,10.194048
1976,12,8,9.344544
1976,12,9,8.778208
1976,12,10,8.211872
1976,12,11,7.645536
1976,12,12,7.0792
1976,12,13,6.229696
1976,12,14,5.66336
1976,12,15,5.380192
1976,12,16,5.097024
1976,12,17,4.813856
1976,12,18,4.530688
1976,12,19,4.24752
1976,12,20,5.66336
1976,12,21,8.49504
1976,12,22,25.48512
1976,12,23,22.087104
1976,12,24,19.82176
1976,12,25,17.556416
1976,12,26,15.857408
1976,12,27,42.4752
1976,12,28,33.98016
1976,12,29,28.3168
1976,12,30,25.48512
1976,12,31,22.65344
1977,1,1,19.82176
1977,1,2,17.556416
1977,1,3,15.857408
1977,1,4,14.1584
1977,1,5,13.025728
1977,1,6,12.176224
1977,1,7,11.32672
1977,1,8,10.477216
1977,1,9,9.627712
1977,1,10,9.061376
1977,1,11,8.49504
1977,1,12,8.211872
1977,1,13,7.928704
1977,1,14,7.645536
1977,1,15,7.928704
1977,1,16,7.645536
1977,1,17,7.362368
1977,1,18,7.0792
1977,1,19,6.796032
1977,1,20,6.796032
1977,1,21,6.512864
1977,1,22,6.512864
1977,1,23,6.512864
1977,1,24,6.512864
1977,1,25,6.512864
1977,1,26,6.512864
1977,1,27,6.512864
1977,1,28,6.229696
1977,1,29,6.229696
1977,1,30,6.512864
1977,1,31,6.512864
1977,2,1,6.229696
1977,2,2,6.229696
1977,2,3,5.946528
1977,2,4,5.946528
1977,2,5,5.66336
1977,2,6,5.66336
1977,2,7,5.66336
1977,2,8,5.66336
1977,2,9,5.946528
1977,2,10,6.512864
1977,2,11,9.91088
1977,2,12,22.65344
1977,2,13,39.64352
1977,2,14,48.13856
1977,2,15,42.4752
1977,2,16,36.81184
1977,2,17,31.14848
1977,2,18,28.3168
1977,2,19,26.051456
1977,2,20,24.918784
1977,2,21,24.352448
1977,2,22,24.352448
1977,2,23,28.3168
1977,2,24,62.29696
1977,2,25,99.1088
1977,2,26,141.584
1977,2,27,198.2176
1977,2,28,311.4848
1977,3,1,396.4352
1977,3,2,339.8016
1977,3,3,269.0096
1977,3,4,368.1184
1977,3,5,758.89024
1977,3,6,971.26624
1977,3,7,724.91008
1977,3,8,526.69248
1977,3,9,402.09856
1977,3,10,294.49472
1977,3,11,288.83136
1977,3,12,259.665056
1977,3,13,236.162112
1977,3,14,203.88096
1977,3,15,182.926528
1977,3,16,160.839424
1977,3,17,127.142432
1977,3,18,131.67312
1977,3,19,362.45504
1977,3,20,566.336
1977,3,21,461.56384
1977,3,22,376.61344
1977,3,23,267.027424
1977,3,24,254.001696
1977,3,25,396.4352
1977,3,26,407.76192
1977,3,27,351.12832
1977,3,28,413.42528
1977,3,29,665.4448
